entry_type,ats,company,board_token,token_type,hosted_board_url,api_jobs_url,api_jobs_content_url,api_method,source_status,source_checked_date,source_dataset,source_url,notes
board,smartrecruiters,10times,10times,company_slug,https://jobs.smartrecruiters.com/10times,https://api.smartrecruiters.com/v1/companies/10times/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,a44games,a44games,company_slug,https://jobs.smartrecruiters.com/a44games,https://api.smartrecruiters.com/v1/companies/a44games/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,abbott,abbott,company_slug,https://jobs.smartrecruiters.com/abbott,https://api.smartrecruiters.com/v1/companies/abbott/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,abbvie,abbvie,company_slug,https://jobs.smartrecruiters.com/abbvie,https://api.smartrecruiters.com/v1/companies/abbvie/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,abgames,abgames,company_slug,https://jobs.smartrecruiters.com/abgames,https://api.smartrecruiters.com/v1/companies/abgames/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,aboutyougmbh,aboutyougmbh,company_slug,https://jobs.smartrecruiters.com/aboutyougmbh,https://api.smartrecruiters.com/v1/companies/aboutyougmbh/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,abstrabittechnologiespvtltd,abstrabittechnologiespvtltd,company_slug,https://jobs.smartrecruiters.com/abstrabittechnologiespvtltd,https://api.smartrecruiters.com/v1/companies/abstrabittechnologiespvtltd/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,accenturefederalservices,accenturefederalservices,company_slug,https://jobs.smartrecruiters.com/accenturefederalservices,https://api.smartrecruiters.com/v1/companies/accenturefederalservices/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,accor,accor,company_slug,https://jobs.smartrecruiters.com/accor,https://api.smartrecruiters.com/v1/companies/accor/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,accuratebackground,accuratebackground,company_slug,https://jobs.smartrecruiters.com/accuratebackground,https://api.smartrecruiters.com/v1/companies/accuratebackground/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,smartrecruiters,acldigital,acldigital,company_slug,https://jobs.smartrecruiters.com/acldigital,https://api.smartrecruiters.com/v1/companies/acldigital/postings,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
