entry_type,ats,company,board_token,token_type,hosted_board_url,api_jobs_url,api_jobs_content_url,api_method,source_status,source_checked_date,source_dataset,source_url,notes
board,rippling,4ag,4ag,board_slug,https://ats.rippling.com/4ag/jobs,https://api.rippling.com/platform/api/ats/v1/board/4ag/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,7factor-software,7factor-software,board_slug,https://ats.rippling.com/7factor-software/jobs,https://api.rippling.com/platform/api/ats/v1/board/7factor-software/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,aalyria-careers,aalyria-careers,board_slug,https://ats.rippling.com/aalyria-careers/jobs,https://api.rippling.com/platform/api/ats/v1/board/aalyria-careers/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,absencesoft,absencesoft,board_slug,https://ats.rippling.com/absencesoft/jobs,https://api.rippling.com/platform/api/ats/v1/board/absencesoft/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,accelerant,accelerant,board_slug,https://ats.rippling.com/accelerant/jobs,https://api.rippling.com/platform/api/ats/v1/board/accelerant/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,accelintjobboardtest,accelintjobboardtest,board_slug,https://ats.rippling.com/accelintjobboardtest/jobs,https://api.rippling.com/platform/api/ats/v1/board/accelintjobboardtest/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,acretrader-jobs,acretrader-jobs,board_slug,https://ats.rippling.com/acretrader-jobs/jobs,https://api.rippling.com/platform/api/ats/v1/board/acretrader-jobs/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,agilitypr,agilitypr,board_slug,https://ats.rippling.com/agilitypr/jobs,https://api.rippling.com/platform/api/ats/v1/board/agilitypr/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,ai2io,ai2io,board_slug,https://ats.rippling.com/ai2io/jobs,https://api.rippling.com/platform/api/ats/v1/board/ai2io/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,rippling,aitp,aitp,board_slug,https://ats.rippling.com/aitp/jobs,https://api.rippling.com/platform/api/ats/v1/board/aitp/jobs,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
